u,v,jaccard,adamic_adar
ethanluoyc,ezhulenev,0.0,0.0
ethanluoyc,apivovarov,0.0,0.0
Becker-ZH,pifon2a,0.0,0.0
Becker-ZH,sharadmv,0.0,0.0
Becker-ZH,vwbaker,0.0,0.0
Becker-ZH,jakeharmon8,0.0,0.0
Becker-ZH,mwhittaker,0.0,0.0
Becker-ZH,chsigg,0.0,0.0
Becker-ZH,belitskiy,0.0,0.0
Becker-ZH,WillFroom,0.0,0.0
Becker-ZH,EusebioDM,0.0,0.0
Becker-ZH,hugomano,0.0,0.0
Becker-ZH,Moerafaat,0.0,0.0
Becker-ZH,alekstheod,0.0,0.0
Becker-ZH,thomasjoerg,0.0,0.0
Becker-ZH,jpienaar,0.0,0.0
Becker-ZH,yashk2810,0.0,0.0
Becker-ZH,ggawryal,0.0,0.0
Becker-ZH,bixia1,0.0,0.0
Becker-ZH,shawnwang18,0.0,0.0
Becker-ZH,Tixxx,0.0,0.0
Becker-ZH,pizzud,0.0,0.0
Becker-ZH,akhilgoe,0.0,0.0
Becker-ZH,majnemer,0.0,0.0
Becker-ZH,tensorflower-gardener,0.0,0.0
Becker-ZH,alexander-shaposhnikov,0.0,0.0
Becker-ZH,cantonios,0.0,0.0
Becker-ZH,mrguenther,0.0,0.0
Becker-ZH,mkuperst,0.0,0.0
Becker-ZH,mtsokol,0.0,0.0
Becker-ZH,protobird-git,0.0,0.0
Becker-ZH,beckerhe,0.0,0.0
Becker-ZH,deqiangc,0.0,0.0
Becker-ZH,mooskagh,0.0,0.0
Becker-ZH,ermilovmaxim,0.0,0.0
Becker-ZH,mraunak,0.0,0.0
Becker-ZH,zvikinoza,0.0,0.0
Becker-ZH,nvgrw,0.0,0.0
Becker-ZH,allanrenucci,0.0,0.0
Becker-ZH,ezhulenev,0.0,0.0
Becker-ZH,apivovarov,0.0,0.0
pifon2a,sharadmv,0.0,0.0
pifon2a,vwbaker,0.0,0.0
pifon2a,jakeharmon8,0.0,0.0
pifon2a,mwhittaker,0.0,0.0
pifon2a,chsigg,0.5,0.7213475204444817
pifon2a,belitskiy,0.0,0.0
pifon2a,EusebioDM,0.0,0.0
pifon2a,hugomano,0.0,0.0
pifon2a,Moerafaat,0.3333333333333333,0.7213475204444817
pifon2a,alekstheod,0.0,0.0
pifon2a,thomasjoerg,0.0,0.0
pifon2a,jpienaar,0.0,0.0
pifon2a,yashk2810,0.0,0.0
pifon2a,ggawryal,0.0,0.0
pifon2a,bixia1,0.0,0.0
